segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
Promotion-driven routine shoppers,GROCERY,616715.43,42555,670,1146940.06,51909,670,53.77050218299987,81.98000346760678,100.0,50.80781128128997,1.058311720717655
Promotion-driven routine shoppers,SALAD BAR,4590.02,1251,252,1146940.06,51909,670,0.40019702511742417,2.4099867075073687,37.61194029850746,0.3841578144175203,1.0417516189908134
Promotion-driven routine shoppers,MISC. TRANS.,1487.3700000000001,278,183,1146940.06,51909,670,0.12968158074450725,0.5355526016683041,27.313432835820894,0.13253198241357883,0.9784927259280207
Promotion-driven routine shoppers,TRAVEL & LEISUR,347.44,132,93,1146940.06,51909,670,0.030292777462145665,0.25429116338207247,13.880597014925373,0.031652470228833614,0.9570430757265401
Promotion-driven routine shoppers,PRODUCE,70393.59,15700,668,1146940.06,51909,670,6.137512539234177,30.245236856807107,99.70149253731343,6.918296966588833,0.8871421057631135
Promotion-driven routine shoppers,SPIRITS,2701.88,258,114,1146940.06,51909,670,0.23557290343490137,0.49702363751950535,17.01492537313433,0.26895477694799436,0.8758829499446006
Promotion-driven routine shoppers,DELI,31998.420000000002,4928,607,1146940.06,51909,670,2.7898947046979945,9.49353676626404,90.59701492537313,3.2375769099376153,0.8617230670673868
Promotion-driven routine shoppers,COUP/STR & MFG,125.39,49,44,1146940.06,51909,670,0.010932567827476529,0.0943959621645572,6.567164179104477,0.012754913661327678,0.857125976526488
Promotion-driven routine shoppers,DRUG GM,125386.66,18145,670,1146940.06,51909,670,10.93227661783825,34.955402723997764,100.0,13.097915247016676,0.8346577613050523
Promotion-driven routine shoppers,SEAFOOD,3427.23,450,186,1146940.06,51909,670,0.29881509239462783,0.8669016933479743,27.761194029850746,0.3660828512387514,0.8162499045871642
Promotion-driven routine shoppers,FLORAL,4263.21,411,235,1146940.06,51909,670,0.37170294670847925,0.7917702132578166,35.07462686567165,0.4921330012875796,0.7552896183267201
Promotion-driven routine shoppers,KIOSK-GAS,58491.24,2877,357,1146940.06,51909,670,5.099764324214117,5.5423914928047155,53.28358208955224,6.754279564444494,0.7550419368277285
Promotion-driven routine shoppers,MISC SALES TRAN,12041.36,797,331,1146940.06,51909,670,1.0498682904144094,1.5353792213296347,49.40298507462686,1.4888101360384294,0.7051727181331536
Promotion-driven routine shoppers,PHOTO,4.0,2,2,1146940.06,51909,670,0.0003487540578188541,0.003852896414879886,0.2985074626865672,0.0005138105958616802,0.6787599567384944
Promotion-driven routine shoppers,FROZEN GROCERY,61.15,31,21,1146940.06,51909,670,0.005331577658905732,0.05971989443063823,3.134328358208955,0.008107534054410654,0.6576078032019183
Promotion-driven routine shoppers,GARDEN CENTER,701.5,72,51,1146940.06,51909,670,0.06116274288998154,0.1387042709356759,7.611940298507462,0.09516442423092047,0.642705962698493
Promotion-driven routine shoppers,AUTOMOTIVE,40.67,8,8,1146940.06,51909,670,0.003545956882873199,0.015411585659519543,1.1940298507462688,0.005617910732433529,0.6311878297391857
Promotion-driven routine shoppers,GM MERCH EXP,9.04,7,5,1146940.06,51909,670,0.0007881841706706102,0.0134851374520796,0.7462686567164178,0.0012547403681549723,0.6281651492807172
Promotion-driven routine shoppers,COSMETICS,2691.77,507,259,1146940.06,51909,670,0.2346914275537642,0.9767092411720512,38.656716417910445,0.40162079690831964,0.5843607436677105
Promotion-driven routine shoppers,CHEF SHOPPE,184.47,63,49,1146940.06,51909,670,0.016083665261461003,0.12136623706871641,7.313432835820896,0.028430852971012964,0.5657116681606179
Promotion-driven routine shoppers,NUTRITION,7636.16,1967,398,1146940.06,51909,670,0.6657854465385052,3.7893236240343677,59.40298507462687,1.2121591217303929,0.5492558151837994
Promotion-driven routine shoppers,RESTAURANT,151.78,36,14,1146940.06,51909,670,0.013233472723936419,0.06935213546783794,2.0895522388059704,0.024657447812419117,0.5366927195632619
Promotion-driven routine shoppers,POSTAL CENTER,1.82,2,2,1146940.06,51909,670,0.00015868309630757862,0.003852896414879886,0.2985074626865672,0.0002979853238318584,0.5325198377793846
Promotion-driven routine shoppers,CNTRL/STORE SUP,2.1,3,3,1146940.06,51909,670,0.00018309588035489842,0.005779344622319829,0.44776119402985076,0.0006087538581404688,0.30077161385751644
